"Cmdlet","RuleName","Message"
"New-AzApiManagementDiagnostic","Incorrect ParameterType","""New-AzApiManagementDiagnostic -LoggerId $logger.LoggerId"" is not an expected parameter type."
"New-AzApiManagementDiagnostic","Incorrect ParameterType","""New-AzApiManagementDiagnostic -LoggerId $logger.LoggerId"" is not an expected parameter type."
"New-AzApiManagementGatewayHostnameConfiguration","Incorrect ParameterType","""New-AzApiManagementGatewayHostnameConfiguration -CertificateResourceId $cert.Id"" is not an expected parameter type."
"New-AzApiManagementGroup","RedirectionNotSupported","The '<' operator is reserved for future use."
"New-AzApiManagementGroup","Unassigned Parameter","""New-AzApiManagementGroup -Context"" must be assigned with a value."
"New-AzApiManagementHttpMessageDiagnostic","Invalid ParameterName","""New-AzApiManagementHttpMessageDiagnostic -Headers"" is not a valid parameter name."
"New-AzApiManagementHttpMessageDiagnostic","Invalid ParameterName","""New-AzApiManagementHttpMessageDiagnostic -BodyBytes"" is not a valid parameter name."
"New-AzApiManagementIdentityProvider","Incorrect ParameterType","""New-AzApiManagementIdentityProvider -Type 'Facebook'"" is not an expected parameter type."
"New-AzApiManagementIdentityProvider","Unassigned Variable","""New-AzApiManagementIdentityProvider -Context $context is a null-valued parameter value."""
"New-AzApiManagementKeyVaultObject","Unassigned Variable","""New-AzApiManagementNamedValue -Context $context is a null-valued parameter value."""
"New-AzApiManagementKeyVaultObject","Unassigned Variable","""New-AzApiManagementNamedValue -NamedValueId $keyVaultNamedValueId is a null-valued parameter value."""
"New-AzApiManagementKeyVaultObject","Unassigned Variable","""New-AzApiManagementNamedValue -Name $keyVaultNamedValueName is a null-valued parameter value."""
"New-AzApiManagementKeyVaultObject","Unassigned Variable","""New-AzApiManagementCertificate -Context $context is a null-valued parameter value."""
"New-AzApiManagementKeyVaultObject","Unassigned Variable","""New-AzApiManagementCertificate -CertificateId $kvcertId is a null-valued parameter value."""
"New-AzApiManagementLogger","RedirectionNotSupported","The '<' operator is reserved for future use."
"New-AzApiManagementLogger","RedirectionNotSupported","The '<' operator is reserved for future use."
"New-AzApiManagementLogger","Unassigned Parameter","""New-AzApiManagementLogger -Context"" must be assigned with a value."
"New-AzApiManagementLogger","Unassigned Parameter","""New-AzApiManagementLogger -InstrumentationKey"" must be assigned with a value."
"New-AzApiManagementNamedValue","Invalid ParameterName","""New-AzApiManagementNamedValue -Tags"" is not a valid parameter name."
"New-AzApiManagementNamedValue","Unassigned Variable","""New-AzApiManagementNamedValue -Context $context is a null-valued parameter value."""
"New-AzApiManagementNamedValue","Unassigned Variable","""New-AzApiManagementNamedValue -NamedValueId $keyVaultNamedValueId is a null-valued parameter value."""
"New-AzApiManagementNamedValue","Unassigned Variable","""New-AzApiManagementNamedValue -Name $keyVaultNamedValueName is a null-valued parameter value."""
"New-AzApiManagementOpenIdConnectProvider","RedirectionNotSupported","The '<' operator is reserved for future use."
"New-AzApiManagementOpenIdConnectProvider","Unassigned Parameter","""New-AzApiManagementOpenIdConnectProvider -Context"" must be assigned with a value."
"New-AzApiManagementOperation","Unassigned Variable","""New-AzApiManagementOperation -ApiId $APIId is a null-valued parameter value."""
"New-AzApiManagementOperation","Unassigned Variable","""New-AzApiManagementOperation -ApiId $APIId is a null-valued parameter value."""
"New-AzApiManagementOperation","Incorrect ParameterType","""New-AzApiManagementOperation -TemplateParameters @($rid, $query)"" is not an expected parameter type."
"New-AzApiManagementOperation","Incorrect ParameterType","""New-AzApiManagementOperation -Request $Request"" is not an expected parameter type."
"New-AzApiManagementOperation","Incorrect ParameterType","""New-AzApiManagementOperation -Responses @($response)"" is not an expected parameter type."
"New-AzApiManagementPipelineDiagnosticSetting","Invalid ParameterName","""New-AzApiManagementHttpMessageDiagnostic -Headers"" is not a valid parameter name."
"New-AzApiManagementPipelineDiagnosticSetting","Invalid ParameterName","""New-AzApiManagementHttpMessageDiagnostic -BodyBytes"" is not a valid parameter name."
"New-AzApiManagementProduct","Unassigned Variable","""New-AzApiManagementProduct -SubscriptionRequired $False is a null-valued parameter value."""
"New-AzApiManagementProduct","Incorrect ParameterType","""New-AzApiManagementProduct -State ""Published"""" is not an expected parameter type."
"New-AzApiManagementProduct","Unassigned Variable","""New-AzApiManagementProduct -ApprovalRequired $True is a null-valued parameter value."""
"New-AzApiManagementProduct","Incorrect ParameterType","""New-AzApiManagementProduct -State ""Published"""" is not an expected parameter type."
"New-AzApiManagementProduct","Invalid ParameterName","""New-AzApiManagementProduct -NotificationPeriod"" is not a valid parameter name."
"New-AzApiManagementProduct","Invalid ParameterName","""New-AzApiManagementProduct -SubscriptionPeriod"" is not a valid parameter name."
"New-AzApiManagementRegion","Incorrect ParameterType","""New-AzApiManagement -AdditionalRegions $additionalRegions"" is not an expected parameter type."
"New-AzApiManagementRegion","Incorrect ParameterType","""New-AzApiManagement -Sku ""Premium"""" is not an expected parameter type."
"New-AzApiManagementRegion","Invalid ParameterName","""New-AzApiManagementVirtualNetwork -Location"" is not a valid parameter name."
"New-AzApiManagementRegion","Invalid ParameterName","""New-AzApiManagementVirtualNetwork -Location"" is not a valid parameter name."
"New-AzApiManagementRegion","Incorrect ParameterType","""New-AzApiManagement -AdditionalRegions $additionalRegions"" is not an expected parameter type."
"New-AzApiManagementRegion","Incorrect ParameterType","""New-AzApiManagement -VpnType ""External"""" is not an expected parameter type."
"New-AzApiManagementRegion","Incorrect ParameterType","""New-AzApiManagement -Sku ""Premium"""" is not an expected parameter type."
"New-AzApiManagementSamplingSetting","Invalid ParameterName","""New-AzApiManagementSamplingSetting -Percentage"" is not a valid parameter name."
"New-AzApiManagementSubscription","Unassigned Variable","""New-AzApiManagementSubscription -Context $context is a null-valued parameter value."""
"New-AzApiManagementSubscription","Unassigned Variable","""New-AzApiManagementSubscription -Context $context is a null-valued parameter value."""
"New-AzApiManagementSystemCertificate","Incorrect ParameterType","""New-AzApiManagement -SystemCertificateConfiguration $systemCert"" is not an expected parameter type."
"New-AzApiManagementUserToken","Unassigned Parameter","""New-AzApiManagementContext -ServiceName"" must be assigned with a value."
"New-AzApiManagementUserToken","Incorrect ParameterType","""New-AzApiManagementUserToken -UserId $gitAccess.Id"" is not an expected parameter type."
"New-AzApiManagementUserToken","RedirectionNotSupported","The '<' operator is reserved for future use."
"New-AzApiManagementUserToken","RedirectionNotSupported","The '<' operator is reserved for future use."
"New-AzApiManagementUserToken","RedirectionNotSupported","The '<' operator is reserved for future use."
"New-AzApiManagementUserToken","Unassigned Parameter","""New-AzApiManagementUserToken -Context"" must be assigned with a value."
"New-AzApiManagementUserToken","Unassigned Parameter","""New-AzApiManagementUserToken -Expiry"" must be assigned with a value."
"New-AzApiManagementUserToken","Unassigned Parameter","""New-AzApiManagementUserToken -UserId"" must be assigned with a value."
"New-AzApiManagementVirtualNetwork","Invalid ParameterName","""New-AzApiManagementVirtualNetwork -Location"" is not a valid parameter name."
